"Rank","Player","Pos","Team
                        Signed With","Age
                        At Signing","Start","End","Yrs","Value","AAV","Type"
"1","Jaylen Brown","SF","BOS
                     BOS","26","2024","2028","5","$285,393,640","$57,078,728","Designated Veteran Extension"
"2","Franz Wagner","SF","ORL
                     ORL","22","2025","2029","5","$224,238,150","$44,847,630","Rookie Extension"
"3","OG Anunoby","SF","NYK
                     NYK","26","2024","2028","5","$212,500,000","$42,500,000","Free Agent"
"4","Kevin Durant","SF","BKN
                     BKN","32","2022","2025","4","$194,219,320","$48,554,830","Maximum Veteran Extension"
"5","Michael Porter Jr.","SF","DEN
                     DEN","23","2022","2026","5","$179,299,750","$35,859,950","Designated Rookie Extension"
"6","Khris Middleton","SF","MIL
                     MIL","27","2019","2023","5","$177,500,000","$35,500,000","Free Agent"
"7","Kawhi Leonard","SF","LAC
                     LAC","30","2021","2024","4","$176,265,152","$44,066,288","maximum"
"8","Kevin Durant","SF","GSW
                     GSW","30","2019","2022","4","$164,255,700","$41,063,925","maximum"
"9","Brandon Ingram","SF","NOP
                     NOP","23","2020","2024","5","$158,253,000","$31,650,600","maximum"
"10","Kawhi Leonard","SF","LAC
                     LAC","32","2024","2026","3","$149,505,800","$49,835,267","Maximum Veteran Extension"
"11","Andrew Wiggins","SF","MIN
                     MIN","22","2018","2022","5","$147,710,050","$29,542,010","Designated Rookie Extension"
"12","Jimmy Butler","SF","MIA
                     MIA","31","2023","2025","3","$146,396,031","$48,798,677","Maximum Veteran Extension"
"13","Jimmy Butler","SF","PHI
                     PHI","29","2019","2022","4","$140,790,600","$35,197,650","maximum"
"14","DeMar DeRozan","SF","TOR
                     TOR","26","2016","2020","5","$139,000,000","$27,800,000","maximum"
"15","Kobe Bryant","SF","LAL
                     LAL","25","2004","2010","7","$136,434,375","$19,490,625",""
"16","Gordon Hayward","SF","BOS
                     BOS","26","2017","2020","4","$127,829,970","$31,957,493","maximum"
"T17","Nicolas Batum","SF","CHA
                     CHA","27","2016","2020","5","$120,000,000","$24,000,000",""
"T17","Gordon Hayward","SF","CHA
                     CHA","30","2020","2023","4","$120,000,000","$30,000,000","sign-and-trade"
"19","Andrew Wiggins","SF","GSW
                     GSW","27","2023","2026","4","$109,000,002","$27,250,001","Veteran Extension"
"20","Otto Porter Jr.","SF","WAS
                     WAS","23","2017","2020","4","$106,524,975","$26,631,244","maximum"
"21","Jaylen Brown","SF","BOS
                     BOS","23","2020","2023","4","$106,333,334","$26,583,334","Rookie Extension"
"22","Kawhi Leonard","SF","LAC
                     LAC","27","2019","2021","3","$103,137,300","$34,379,100","maximum"
"23","Cameron Johnson","SF","BKN
                     BKN","27","2023","2026","4","$94,500,000","$23,625,000","Free Agent"
"24","Chandler Parsons","SF","MEM
                     MEM","27","2016","2019","4","$94,438,523","$23,609,631","maximum"
"25","Kawhi Leonard","SF","SAS
                     SAS","23","2015","2019","5","$94,343,126","$18,868,625","rookie-maximum-extension"
"T26","Jalen Rose","SF","IND
                     IND","26","2000","2006","7","$93,000,000","$13,285,714",""
"T26","Khris Middleton","SF","MIL
                     MIL","31","2023","2025","3","$93,000,000","$31,000,000","Free Agent"
"28","Grant Hill","SF","ORL
                     ORL","27","2000","2006","7","$92,960,250","$13,280,036",""
"29","Jimmy Butler","SF","CHI
                     CHI","25","2015","2019","5","$92,339,878","$18,467,976",""
"30","Mikal Bridges","SF","PHX
                     PHX","25","2022","2025","4","$90,900,000","$22,725,000","Rookie Extension"
"T31","Duncan Robinson","SF","MIA
                     MIA","27","2021","2025","5","$90,000,000","$18,000,000","Free Agent"
"T31","De'Andre Hunter","SF","ATL
                     ATL","24","2023","2026","4","$90,000,000","$22,500,000","Rookie Extension"
"33","Kevin Durant","SF","OKC
                     OKC","22","2011","2015","5","$89,163,134","$17,832,627","rookie-maximum-extension"
"34","Andrei Kirilenko","SF","UTA
                     UTA","23","2005","2010","6","$86,435,749","$14,405,958","Extension"
"35","Shawn Marion","SF","PHX
                     PHX","24","2003","2008","6","$86,310,000","$14,385,000","Extension"
"36","Dillon Brooks","SF","MEM
                     MEM","27","2023","2026","4","$86,000,001","$21,500,000","sign-and-trade"
"37","Kobe Bryant","SF","LAL
                     LAL","32","2011","2013","3","$83,547,447","$27,849,149","Veteran Extension"
"38","DeMar DeRozan","SF","CHI
                     CHI","32","2021","2023","3","$81,900,000","$27,300,000","sign-and-trade"
"39","Andre Iguodala","SF","PHI
                     PHI","23","2008","2013","6","$80,500,000","$13,416,667","Free Agent"
"40","Paul Pierce","SF","BOS
                     BOS","24","2002","2006","6","$79,283,512","$13,213,919",""
"41","Scottie Pippen","SF","CHI
                     CHI","33","1999","2002","5","$77,356,730","$15,471,346","sign-and-trade"
"42","Miles Bridges","SF","CHA
                     CHA","26","2024","2026","3","$75,000,000","$25,000,000","Free Agent"
"43","DeMar DeRozan","SF","CHI
                     CHI","34","2024","2026","3","$73,890,000","$24,630,000","sign-and-trade"
"44","Bojan Bogdanovic","SF","UTA
                     UTA","29","2019","2022","4","$73,100,000","$18,275,000","Free Agent"
"T45","OG Anunoby","SF","TOR
                     TOR","23","2021","2024","4","$72,000,000","$18,000,000","Rookie Extension"
"T45","Luol Deng","SF","LAL
                     LAL","30","2016","2019","4","$72,000,000","$18,000,000",""
"47","Luol Deng","SF","CHI
                     CHI","22","2008","2013","6","$71,005,425","$11,834,238",""
"T48","Khris Middleton","SF","MIL
                     MIL","23","2015","2019","5","$70,000,000","$14,000,000",""
"T48","Evan Turner","SF","POR
                     POR","27","2016","2019","4","$70,000,000","$17,500,000",""
"50","Marcus Morris Sr.","SF","LAC
                     LAC","31","2020","2023","4","$64,000,000","$16,000,000","Free Agent"
"51","Peja Stojakovic","SF","IND
                     IND","2,005","2006","2010","5","$63,280,000","$12,656,000",""
"52","Gordon Hayward","SF","UTA
                     UTA","23","2014","2017","4","$62,965,420","$15,741,355","maximum"
"53","Kevin Durant","SF","GSW
                     GSW","29","2018","2019","2","$61,500,000","$30,750,000","Free Agent"
"54","Paul Pierce","SF","BOS
                     BOS","32","2010","2013","4","$61,333,334","$15,333,334",""
"55","Richard Jefferson","SF","NJN
                     NJN","24","2005","2009","5","$61,000,000","$12,200,000","Extension"
"56","Danny Granger","SF","IND
                     IND","25","2009","2013","5","$60,000,000","$12,000,000",""
"T57","Josh Smith","SF","ATL
                     ATL","22","2008","2012","5","$58,000,000","$11,600,000",""
"T57","DeMarre Carroll","SF","TOR
                     TOR","28","2015","2018","4","$58,000,000","$14,500,000",""
"59","Zaccharie Risacher","SF","ATL
                     ATL","19","2024","2027","4","$57,027,437","$14,256,859","Rookie"
"60","Kobe Bryant","SF","LAL
                     LAL","20","1999","2003","5","$56,255,000","$11,251,000","Rookie Extension"
"61","Deni Avdija","SF","WAS
                     WAS","22","2024","2027","4","$55,000,000","$13,750,000","Rookie Extension"
"62","Kevin Durant","SF","GSW
                     GSW","27","2016","2017","2","$54,274,505","$27,137,253","maximum"
"T63","Josh Smith","SF","DET
                     DET","27","2013","2016","4","$54,000,000","$13,500,000",""
"T63","Terrence Ross","SF","ORL
                     ORL","27","2019","2022","4","$54,000,000","$13,500,000","Free Agent"
"65","Herb Jones","SF","NOP
                     NOP","24","2023","2026","4","$53,827,872","$13,456,968","Free Agent"
"66","Jamal Mashburn","SF","CHA
                     CHA","27","2000","2006","6","$53,100,000","$8,850,000","Extension"
"67","Hedo Turkoglu","SF","TOR
                     TOR","29","2009","2013","5","$52,800,000","$10,560,000",""
"T68","Michael Kidd-Gilchrist","SF","CHA
                     CHA","22","2016","2019","4","$52,000,000","$13,000,000","Rookie Extension"
"T68","Joe Ingles","SF","UTA
                     UTA","29","2017","2020","4","$52,000,000","$13,000,000",""
"70","Kevin Durant","SF","GSW
                     GSW","28","2017","2018","2","$51,250,000","$25,625,000","Free Agent"
"71","Brandon Miller","SF","CHA
                     CHA","20","2023","2026","4","$49,378,426","$12,344,607","Rookie"
"72","Kobe Bryant","SF","LAL
                     LAL","35","2014","2015","2","$48,500,000","$24,250,000","Veteran Extension"
"73","Corey Maggette","SF","GSW
                     GSW","28","2008","2012","5","$48,124,137","$9,624,827",""
"74","Gerald Wallace","SF","CHA
                     CHA","24","2007","2011","5","$48,075,000","$9,615,000",""
"T75","Andre Iguodala","SF","DEN
                     DEN","28","2013","2016","4","$48,000,000","$12,000,000","sign-and-trade"
"T75","Solomon Hill","SF","NOP
                     NOP","24","2016","2019","4","$48,000,000","$12,000,000",""
"T75","Andre Iguodala","SF","GSW
                     GSW","32","2017","2019","3","$48,000,000","$16,000,000","Free Agent"
"78","Tayshaun Prince","SF","DET
                     DET","25","2006","2010","5","$47,500,000","$9,500,000","Extension"
"79","T.J. Warren","SF","PHX
                     PHX","24","2018","2021","4","$47,000,000","$11,750,000","Rookie Extension"
"80","Wilson Chandler","SF","DEN
                     DEN","27","2015","2018","4","$46,500,000","$11,625,000","Veteran Extension"
"81","Nicolas Batum","SF","POR
                     POR","23","2012","2015","4","$46,121,500","$11,530,375",""
"82","Chandler Parsons","SF","DAL
                     DAL","25","2014","2016","3","$46,084,500","$15,361,500",""
"83","Caron Butler","SF","MIA
                     MIA","25","2006","2010","5","$45,249,900","$9,049,980",""
"84","Mike Dunleavy","SF","IND
                     IND","21","2002","2010","5","$45,000,000","$9,000,000","Extension"
"T85","Maurice Harkless","SF","POR
                     POR","22","2016","2019","4","$42,000,000","$10,500,000",""
"T85","Royce O'Neale","SF","PHX
                     PHX","31","2024","2027","4","$42,000,000","$10,500,000","Free Agent"
"87","Doug McDermott","SF","SAS
                     SAS","29","2021","2023","3","$41,250,000","$13,750,000","sign-and-trade"
"88","Metta World Peace","SF","CHI
                     CHI","23","2003","2008","6","$40,800,000","$6,800,000","Extension"
"89","Jerry Stackhouse","SF","DET
                     DET","23","1998","2004","7","$40,540,750","$5,791,536",""
"90","Shawn Marion","SF","TOR
                     TOR","30","2009","2013","5","$40,019,211","$8,003,842",""
"91","Gerald Wallace","SF","BKN
                     BKN","29","2012","2015","4","$40,000,030","$10,000,008",""
"92","Danny Green","SF","SAS
                     SAS","27","2015","2018","4","$40,000,000","$10,000,000",""
"93","John Salmons","SF","MIL
                     MIL","30","2010","2014","5","$39,166,000","$7,833,200",""
"94","Bojan Bogdanovic","SF","DET
                     DET","33","2023","2024","2","$39,032,850","$19,516,425","Veteran Extension"
"95","Richard Jefferson","SF","SAS
                     SAS","29","2010","2013","4","$38,892,000","$9,723,000",""
"96","Stephen Jackson","SF","ATL
                     ATL","25","2004","2009","6","$38,250,000","$6,375,000","sign-and-trade"
"97","DeMar DeRozan","SF","TOR
                     TOR","23","2013","2016","4","$38,000,000","$9,500,000","Rookie Extension"
"98","Paul Pierce","SF","BOS
                     BOS","30","2008","2009","2","$37,873,615","$18,936,808",""
"99","Ron Holland","SF","DET
                     DET","18","2024","2027","4","$37,463,383","$9,365,846","Rookie"
"100","Shane Battier","SF","MEM
                     MEM","26","2005","2010","6","$36,847,500","$6,141,250","Extension"
"101","Hedo Turkoglu","SF","ORL
                     ORL","24","2004","2008","6","$36,772,500","$6,128,750",""
"102","Royce O'Neale","SF","UTA
                     UTA","26","2020","2023","4","$36,000,000","$9,000,000","Veteran Extension"
"103","Caleb Martin","SF","MIA
                     MIA","28","2024","2027","4","$35,040,704","$8,760,176","Free Agent"
"T104","Dillon Brooks","SF","MEM
                     MEM","23","2020","2022","3","$35,000,000","$11,666,667","Rookie Extension"
"T104","Travis Outlaw","SF","NJN
                     NJN","26","2011","2014","5","$35,000,000","$7,000,000",""
"T104","Corey Maggette","SF","LAC
                     LAC","23","2003","2007","5","$35,000,000","$7,000,000",""
"T104","Jae Crowder","SF","BOS
                     BOS","24","2015","2019","5","$35,000,000","$7,000,000",""
"T108","Trevor Ariza","SF","HOU
                     HOU","23","2009","2013","5","$33,953,200","$6,790,640",""
"T108","Metta World Peace","SF","LAL
                     LAL","29","2009","2013","5","$33,953,200","$6,790,640",""
"110","Aaron Nesmith","SF","IND
                     IND","24","2024","2026","3","$33,000,000","$11,000,000","Rookie Extension"
"111","De'Andre Hunter","SF","ATL
                     ATL","21","2019","2022","4","$32,101,641","$8,025,410","Rookie"
"112","Trevor Ariza","SF","WAS
                     WAS","28","2014","2017","4","$32,000,002","$8,000,001","sign-and-trade"
"113","Jamal Mashburn","SF","DAL
                     DAL","20","1993","1999","7","$32,000,000","$4,571,429","Rookie"
"114","Wilson Chandler","SF","DEN
                     DEN","23","2011","2015","5","$31,720,817","$6,344,163",""
"115","Terrence Ross","SF","TOR
                     TOR","24","2016","2018","3","$31,500,000","$10,500,000","Rookie Extension"
"116","Cody Martin","SF","CHA
                     CHA","26","2022","2025","4","$31,360,000","$7,840,000","Free Agent"
"117","Grant Hill","SF","DET
                     DET","21","1994","1999","6","$31,289,000","$5,214,833","Rookie"
"118","Peja Stojakovic","SF","SAC
                     SAC","2,000","2001","2005","5","$31,250,000","$6,250,000",""
"119","Cedi Osman","SF","CLE
                     CLE","24","2020","2023","4","$31,118,844","$7,779,711","Veteran Extension"
"120","Luke Walton","SF","LAL
                     LAL","26","2007","2012","6","$30,291,363","$5,048,561",""
"121","Vladimir Radmanovic","SF","LAL
                     LAL","25","2006","2010","5","$30,247,000","$6,049,400",""
"122","Bilal Coulibaly","SF","WAS
                     WAS","18","2023","2026","4","$30,075,132","$7,518,783","Rookie"
"123","Reggie Bullock","SF","DAL
                     DAL","30","2021","2023","3","$30,038,400","$10,012,800","Free Agent"
"T124","Danny Green","SF","LAL
                     LAL","31","2019","2020","2","$30,000,000","$15,000,000","Free Agent"
"T124","Kelly Oubre Jr.","SF","PHX
                     PHX","23","2019","2020","2","$30,000,000","$15,000,000","Free Agent"
"T124","Andre Iguodala","SF","MEM
                     MEM","35","2020","2021","2","$30,000,000","$15,000,000","extend-and-trade"
"T124","Derrick Jones Jr.","SF","LAC
                     LAC","27","2024","2026","3","$30,000,000","$10,000,000","Free Agent"
"T124","Jared Dudley","SF","PHX
                     PHX","30","2016","2018","3","$30,000,000","$10,000,000",""
"129","Josh Howard","SF","DAL
                     DAL","26","2007","2009","3","$29,835,000","$9,945,000","Extension"
"130","Marquis Daniels","SF","DAL
                     DAL","22","2004","2008","5","$29,418,000","$5,883,600",""
"131","Jae Crowder","SF","PHX
                     PHX","30","2020","2022","3","$29,162,700","$9,720,900","Free Agent"
"T132","Toni Kukoc","SF","PHI
                     PHI","31","2000","2003","4","$28,000,000","$7,000,000","Free Agent"
"T132","Nassir Little","SF","POR
                     POR","22","2023","2026","4","$28,000,000","$7,000,000","Rookie Extension"
"T132","Tayshaun Prince","SF","DET
                     DET","30","2011","2014","4","$28,000,000","$7,000,000",""
"135","Stephen Jackson","SF","GSW
                     GSW","31","2010","2012","3","$27,769,500","$9,256,500","Veteran Extension"
"136","Lance Thomas","SF","NYK
                     NYK","27","2016","2019","4","$27,549,950","$6,887,488",""
"137","Naji Marshall","SF","DAL
                     DAL","26","2024","2026","3","$27,000,000","$9,000,000","Free Agent"
"138","Justise Winslow","SF","MIA
                     MIA","22","2019","2020","2","$26,000,000","$13,000,000","Rookie Extension"
"139","John Salmons","SF","SAC
                     SAC","26","2006","2010","5","$25,520,000","$5,104,000",""
"T140","C.J. Miles","SF","IND
                     IND","29","2017","2019","3","$25,000,000","$8,333,333",""
"T140","Trevor Ariza","SF","SAC
                     SAC","33","2019","2020","2","$25,000,000","$12,500,000","Free Agent"
"142","Andrew Wiggins","SF","CLE
                     CLE","18","2014","2017","4","$24,850,243","$6,212,561","Rookie"
"143","Kelly Oubre Jr.","SF","CHA
                     CHA","25","2021","2022","2","$24,600,000","$12,300,000","Free Agent"
"144","Toni Kukoc","SF","CHI
                     CHI","25","1994","1999","6","$24,450,000","$4,075,000","Free Agent"
"T145","Jason Kapono","SF","TOR
                     TOR","25","2007","2010","4","$24,000,000","$6,000,000",""
"T145","Caron Butler","SF","LAC
                     LAC","30","2011","2013","3","$24,000,000","$8,000,000",""
"147","Matas Buzelis","SF","CHI
                     CHI","19","2024","2027","4","$23,950,723","$5,987,681","Rookie"
"148","Brandon Ingram","SF","LAL
                     LAL","18","2016","2019","4","$23,823,685","$5,955,921","Rookie"
"149","Franz Wagner","SF","ORL
                     ORL","19","2021","2024","4","$22,781,932","$5,695,483","Rookie"
"150","Nicolas Batum","SF","LAC
                     LAC","33","2022","2023","2","$22,554,168","$11,277,084","Free Agent"
"T151","Doug McDermott","SF","IND
                     IND","25","2018","2020","3","$22,000,000","$7,333,333",""
"T151","Joe Ingles","SF","ORL
                     ORL","35","2023","2024","2","$22,000,000","$11,000,000","Free Agent"
"153","Martell Webster","SF","WAS
                     WAS","26","2013","2016","4","$21,990,500","$5,497,625",""
"154","Evan Turner","SF","PHI
                     PHI","21","2010","2013","4","$21,523,507","$5,380,877","Rookie"
"155","Jaylen Brown","SF","BOS
                     BOS","19","2016","2019","4","$21,404,269","$5,351,067","Rookie"
"156","Jared Dudley","SF","PHX
                     PHX","25","2011","2015","5","$21,250,000","$4,250,000","Rookie Extension"
"157","Mickael Pietrus","SF","ORL
                     ORL","25","2008","2011","4","$21,200,000","$5,300,000",""
"158","Ousmane Dieng","SF","OKC
                     OKC","19","2022","2025","4","$21,066,202","$5,266,551","Rookie"
"T159","Josh Childress","SF","PHX
                     PHX","28","2012","2014","3","$21,000,000","$7,000,000","amnesty"
"T159","Bojan Bogdanovic","SF","IND
                     IND","27","2017","2018","2","$21,000,000","$10,500,000",""
"161","Rodney Hood","SF","POR
                     POR","28","2020","2021","2","$20,898,696","$10,449,348","Free Agent"
"162","Michael Kidd-Gilchrist","SF","CHA
                     CHA","18","2012","2015","4","$20,760,923","$5,190,231","Rookie"
"163","DeMarre Carroll","SF","BKN
                     BKN","32","2019","2021","3","$20,650,000","$6,883,333","Free Agent"
"164","Jae’Sean Tate","SF","HOU
                     HOU","26","2022","2024","3","$20,630,434","$6,876,811","Free Agent"
"165","Caleb Martin","SF","MIA
                     MIA","26","2022","2024","3","$20,408,850","$6,802,950","Free Agent"
"166","Deni Avdija","SF","WAS
                     WAS","19","2020","2023","4","$20,341,348","$5,085,337","Rookie"
"167","Jalen Williams","SF","OKC
                     OKC","21","2022","2025","4","$20,256,917","$5,064,229","Rookie"
"168","Michael Beasley","SF","MIN
                     MIN","18","2008","2011","4","$20,178,147","$5,044,537","Rookie"
"169","Martell Webster","SF","MIN
                     MIN","22","2009","2011","4","$20,121,000","$5,030,250","Rookie Extension"
"T170","Marcus Morris Sr.","SF","PHX
                     PHX","25","2015","2018","4","$20,000,000","$5,000,000","Rookie Extension"
"T170","Jonathon Simmons","SF","ORL
                     ORL","27","2017","2019","3","$20,000,000","$6,666,667",""
"T170","Danny Green","SF","PHI
                     PHI","34","2021","2022","2","$20,000,000","$10,000,000","Free Agent"
"173","Andrei Kirilenko","SF","MIN
                     MIN","30","2012","2013","2","$19,998,769","$9,999,385",""
"174","Sasha Vezenkov","SF","SAC
                     SAC","27","2023","2025","3","$19,975,609","$6,658,536","Free Agent"
"175","Ziaire Williams","SF","MEM
                     MEM","19","2021","2024","4","$19,907,925","$4,976,981","Rookie"
"176","Luol Deng","SF","MIA
                     MIA","28","2014","2015","2","$19,866,073","$9,933,037",""
"177","Kevin Durant","SF","SEA
                     SEA","18","2007","2010","4","$19,505,783","$4,876,446","Rookie"
"178","Scottie Pippen","SF","CHI
                     CHI","25","1991","1997","7","$19,445,000","$2,777,857","Veteran Extension"
"179","Cam Reddish","SF","ATL
                     ATL","19","2019","2022","4","$19,328,334","$4,832,084","Rookie"
"180","Otto Porter Jr.","SF","WAS
                     WAS","19","2013","2016","4","$19,305,421","$4,826,355","Rookie"
"T181","Kyle Singler","SF","OKC
                     OKC","26","2015","2018","4","$19,000,000","$4,750,000",""
"T181","Saddiq Bey","SF","WAS
                     WAS","25","2024","2026","3","$19,000,000","$6,333,333","Free Agent"
"183","Derrick Jones Jr.","SF","POR
                     POR","23","2020","2021","2","$18,978,900","$9,489,450","Free Agent"
"184","Linas Kleiza","SF","TOR
                     TOR","24","2010","2013","4","$18,800,000","$4,700,000",""
"185","Landry Fields","SF","TOR
                     TOR","23","2012","2014","3","$18,750,000","$6,250,000",""
"186","Ochai Agbaji","SF","CLE
                     CLE","22","2022","2025","4","$18,726,365","$4,681,591","Rookie"
"187","Cameron Johnson","SF","PHX
                     PHX","22","2019","2022","4","$18,593,499","$4,648,375","Rookie"
"188","Kevin Knox","SF","NYK
                     NYK","18","2018","2021","4","$18,554,698","$4,638,675","Rookie"
"189","Dalton Knecht","SF","LAL
                     LAL","23","2024","2027","4","$18,483,220","$4,620,805","Rookie"
"190","Michael Beasley","SF","PHX
                     PHX","22","2012","2014","3","$18,000,000","$6,000,000",""
"191","C.J. Miles","SF","IND
                     IND","26","2014","2017","4","$17,955,350","$4,488,838",""
"192","Chris Duarte","SF","IND
                     IND","24","2021","2024","4","$17,704,528","$4,426,132","Rookie"
"193","Jerry Stackhouse","SF","BKN
                     BKN","30","2005","2006","2","$17,664,061","$8,832,031","Extension"
"194","Wesley Johnson","SF","LAC
                     LAC","28","2016","2018","3","$17,643,780","$5,881,260",""
"195","Mikal Bridges","SF","PHX
                     PHX","21","2018","2021","4","$17,630,685","$4,407,671","Rookie"
"196","Toni Kukoc","SF","CHI
                     CHI","24","1993","2000","8","$17,600,000","$2,200,000","Rookie"
"197","Tristan Da Silva","SF","ORL
                     ORL","23","2024","2027","4","$17,567,626","$4,391,907","Rookie"
"198","A.J. Griffin","SF","ATL
                     ATL","18","2022","2025","4","$17,106,137","$4,276,534","Rookie"
"199","Jaime Jaquez Jr.","SF","MIA
                     MIA","22","2023","2026","4","$16,997,141","$4,249,285","Rookie"
"200","Willie Green","SF","PHI
                     PHI","24","2006","2010","5","$16,940,000","$3,388,000",""
"201","Adam Morrison","SF","WAS
                     WAS","21","2006","2009","4","$16,920,989","$4,230,247","Rookie"
"202","Aaron Nesmith","SF","BOS
                     BOS","21","2020","2023","4","$16,528,217","$4,132,054","Rookie"
"203","Kelly Oubre Jr.","SF","PHI
                     PHI","28","2024","2025","2","$16,365,150","$8,182,575","Free Agent"
"204","Corey Kispert","SF","WAS
                     WAS","22","2021","2022","4","$16,364,408","$4,091,102","Rookie"
"205","Miles Bridges","SF","CHA
                     CHA","19","2018","2021","4","$16,317,853","$4,079,463","Rookie"
"T206","Kenyon Martin Jr.","SF","PHI
                     PHI","23","2024","2025","2","$16,000,000","$8,000,000","Free Agent"
"T206","Simone Fontecchio","SF","DET
                     DET","28","2024","2025","2","$16,000,000","$8,000,000","Free Agent"
"T206","Travis Outlaw","SF","NJN
                     NJN","26","2011","2014","4","$16,000,000","$4,000,000","amnesty"
"209","Sekou Doumbouya","SF","DET
                     DET","18","2019","2022","4","$15,887,971","$3,971,993","Rookie"
"210","Keith Bogans","SF","BOS
                     BOS","32","2013","2015","3","$15,629,874","$5,209,958","sign-and-trade"
"211","Cam Whitmore","SF","HOU
                     HOU","18","2023","2026","4","$15,595,310","$3,898,828","Rookie"
"212","Michael Porter Jr.","SF","DEN
                     DEN","19","2018","2021","4","$15,093,095","$3,773,274","Rookie"
"213","Steve Novak","SF","NYK
                     NYK","28","2012","2015","4","$15,000,002","$3,750,001",""
