"Rank","Player","Pos","Team
                        Signed With","Age
                        At Signing","Start","End","Yrs","Value","AAV","Type"
"1","Jayson Tatum","PF","BOS
                     BOS","26","2025","2029","5","$313,933,410","$62,786,682","Designated Veteran Extension"
"2","Jaylen Brown","SF","BOS
                     BOS","26","2024","2028","5","$285,393,640","$57,078,728","Designated Veteran Extension"
"3","Giannis Antetokounmpo","PF","MIL
                     MIL","26","2021","2025","5","$228,200,420","$45,640,084","Designated Veteran Extension"
"4","Franz Wagner","SF","ORL
                     ORL","22","2025","2029","5","$224,238,150","$44,847,630","Rookie Extension"
"5","Scottie Barnes","PF","TOR
                     TOR","22","2025","2029","5","$224,237,860","$44,847,572","Designated Rookie Extension"
"6","OG Anunoby","SF","NYK
                     NYK","26","2024","2028","5","$212,500,000","$42,500,000","Free Agent"
"7","Zion Williamson","PF","NOP
                     NOP","22","2023","2027","5","$197,230,450","$39,446,090","Designated Rookie Extension"
"8","Kevin Durant","SF","BKN
                     BKN","32","2022","2025","4","$194,219,320","$48,554,830","Maximum Veteran Extension"
"9","Pascal Siakam","PF","IND
                     IND","30","2024","2027","4","$188,950,272","$47,237,568","Free Agent"
"10","Domantas Sabonis","PF","SAC
                     SAC","27","2024","2027","4","$186,016,000","$46,504,000","Veteran Extension"
"11","Tobias Harris","PF","PHI
                     PHI","26","2019","2023","5","$180,000,000","$36,000,000","maximum"
"12","Michael Porter Jr.","SF","DEN
                     DEN","23","2022","2026","5","$179,299,750","$35,859,950","Designated Rookie Extension"
"13","Khris Middleton","SF","MIL
                     MIL","27","2019","2023","5","$177,500,000","$35,500,000","Free Agent"
"14","Kawhi Leonard","SF","LAC
                     LAC","30","2021","2024","4","$176,265,152","$44,066,288","maximum"
"15","Giannis Antetokounmpo","PF","MIL
                     MIL","28","2025","2027","3","$175,369,471","$58,456,490","Maximum Veteran Extension"
"16","Kevin Durant","SF","GSW
                     GSW","30","2019","2022","4","$164,255,700","$41,063,925","maximum"
"17","Jayson Tatum","PF","BOS
                     BOS","22","2021","2025","5","$163,000,300","$32,600,060","Designated Rookie Extension"
"18","Jerami Grant","PF","POR
                     POR","29","2023","2027","5","$160,000,000","$32,000,000","Free Agent"
"T19","Brandon Ingram","SF","NOP
                     NOP","23","2020","2024","5","$158,253,000","$31,650,600","maximum"
"T19","Kristaps Porzingis","PF","DAL
                     DAL","23","2019","2023","5","$158,253,000","$31,650,600","maximum"
"21","LeBron James","PF","LAL
                     LAL","33","2018","2021","4","$153,312,846","$38,328,212","maximum"
"22","Kawhi Leonard","SF","LAC
                     LAC","32","2024","2026","3","$149,505,800","$49,835,267","Maximum Veteran Extension"
"23","Andrew Wiggins","SF","MIN
                     MIN","22","2018","2022","5","$147,710,050","$29,542,010","Designated Rookie Extension"
"24","Jimmy Butler","SF","MIA
                     MIA","31","2023","2025","3","$146,396,031","$48,798,677","Maximum Veteran Extension"
